"Х Циркон 1мл стимул корнеобр, рост, плодонош, цвет, антистресс, болезнеуст 1/500(3 года)",3, +  К 13.05.17 -  П 16.05.17 +  К 24.05.17 -  П 25.05.17 +, -  П 28.01.16 +  К 02.03.16 -  П 03.03.16 +, +  14.01.15 пер(СКЛАД недостача по производству) -  П 04.03.15 +  К 17.07.15 -  П 22.07.15 +  К 26.09.15 -,104,80,310,269,70,170,347,326,157,277,1076,601,495,232,656,452,1194,854,989,1286,926,730,555,778,392,431,207,348,275,190,100,323,102,38,35,89,208,1295,12,157,142,213,98,88,158,107,33,18,18,14,33,30,40,60,207,321,1015,391,1151,504,755,392,518,531,530,449,640,836,428,1049,1206,392,547,874,623,280,357,472,784,329,227,299,219,139,194,105,139,420,89,114,132,90,35,259,169,66,98,29,49,148,57,82,21,7, , , ,30,186,309,210,307,239,249,638,249,359,322,872,1234,278,402,727,553,472,294,254,396,134,137,138,110,416,143,57,136,175,147,22,22,70,51,41,144,51,126,48,124,38,180,68,29,53,27,46,46,3,147,173,16,54,72,19,5, ,53,170,185,377,515,216,722,1520,1595,577,467,1236,445,654,325,193,289,212,115,96,52,95,33,94,69,5,49,242,135,232,3,3,3, , , , , , , , , , 
Х Стимул 2мл антистресс 1/200(2 года),3, -  П 13.01.17 +  К 31.10.17 -  П 11.12.17 +, -  П 21.01.16 +  К 01.12.16 -, +  К 10.02.15 -  П 12.03.15 +  13.10.15 пер(ТЦ УССУРИЙСК) -,53,61,45,9,14,65,3,12,13,5,15,13,28,48,161,49,294,9,141,12,11,24,6,216,21,21,35,57,1,18,9,2,45, , , , , , ,23,5,1, , ,5,51,10,4,15,1,20,5, , ,10,20,30,2,20,20,51,166,71,44,30,20,12,110,13,102,20,16,52,15,38,50,34,108,3,10, ,1,55,3,20,8,2,7,60,20,21,6, ,12,10,133,2,5,9,14,1,3,41,1, , , ,52,38,11,17,40,58,43,103,36,20,122,70,10, , ,50,16,49,55,71,200,19,8,19,23,121, ,10, ,23,1,17,30,15,2,30,9,30,10, ,102,3,9,1,30,7,4,9,7, ,37,7,19,10, ,10, , , ,30, ,60,14,35,83,41,40,16,21, ,42,121,3,10,22,21,386,22,32, , , , , , , , , , , , ,1, , , , , , , , , 
Х Ловушка Машенька клеевая от тараканов и муравьев 20г 1/60/120(3 года),3,+, -  П 21.06.16 +, +  05.11.15 пер(ТЦ УССУРИЙСК) -,35,15,21,5, ,20,19,32,20,24,20,14,2,6,46, ,24,10,16, ,10,4,62,10,23, ,24,1,42,10,19,70,50,100,60,2,9,42,14,30,17,20,111,64,82,5,10,14,4,2,40, , ,10,10,12, ,20,1,22,3,3,25,20,3,4, , ,10,11,6,13,3,2,5, , ,1,1, , ,32,42,21,18,3,11,24,60,46,48,65,50,64,3,10, ,2,23,12,4, ,1,10, , , , , , , , , , , , , , , , , , , , , ,1, , , ,20, ,10,25, ,2,20,23,31,67,47,52,20,12,111,50,1,31,84,43,1,3, ,12,10,2,11, ,10,19,2,20,25, ,4,72,6,3,10,24,10,1,11,48,2,20,10, ,34,33, ,7,30,10,30,14,4,1,21,63,2,58,2,90,154,108,156,54,43,31, ,4,1,4, , , , , 
"Х Агита 25гр мухи, блохи, тараканы 1/30(5 лет)",3, -  П 09.06.17 +  К 04.08.17 -  П 28.08.17 +, +  К 06.09.16 -, +,3,5,21,4,15,2,19,8,3,3,12,2,10,13,10,38,67,20,33,151,59,95,98,39,144,290,115,101,208,101,132,187,150,93,28,51,11,26,11,12,28,19,10,7,7,11,9,1,7,4,11,2, , , , , , , , , , , , , , , , , , , , , , ,380,283,183,66,356,150,87,1306,8, , , ,409,165,61,60,46,8,13,8,8,15,4,10,12,4,8,6,8,6,9,3,20,17,6,34,17,11,15,9,15,34,45,36,3,20,61,16,62,151,77,91,19,126,23,41,139,135,234,99,70,49,224,77,18,30,20,13, , , , , , , , , , , , , , ,2,11,11,10,16,4,19,8,12,8,11,16,20,8,67,28,55,33,43,51,103,111,43,27,61,62,53,71,53,144,78,98,81,218,123,26,55,37,52,42,25,12,8,14,6,13,28,13,8,13,162,12
Х Раундап 140мл от всех видов сорняков 1/12(5 лет),3, +, +, -  П 20.02.15 +, , ,3, , , ,6,3, , , , , , ,5,2,20,16,61,96,63,60,48,47,6,6,22,12,6,11,22,23,17,16,20,5,2,1, , ,5, , , , , , , , , , , , , , , ,3,1,2,30, ,11, , , ,5,8,59,14,41,33,55,92,42,27,36,5,28,10,20,29,14,2, ,12,7,1, ,6, ,1,3, , , , , , , , , , ,5, ,1,10, , , , , , , , ,19,6,3,3,16,8,27,28,93,114,103,40,27,46,42,16,19,12,16,5,11,15,12,8,2, ,6,8,10,5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,13,14,32,6,167,121,36,18,38,45,12,25,11,10,5,7,9,2, ,8,4,5,31,4,1,1, , ,2, , , , , , , 
"Х Сэмпай  5мл гусеницы, колор жук и компл вред на овощ и плод культ 1/200(4 года)",3, -  П 04.01.17 +  К 29.09.17 -  П 11.12.17 +, +  12.07.16 пер(СКЛАД недостача по производству) -,+,30, ,30,110, ,11,30,10, ,20,17,52,96,64, ,160,452,443,380,327,567,695,944,256,841,571,323,775,238,228,67,27,2,15,2, , , ,50, , , , , , , , , , , , , ,20, , ,203,2,10,80, , ,12,114,90,230,217,91,62,346,125,348,337,319,602,601,168,407,698,477,425,530,223,191,158,90,43, ,4,52,22,91, , , , , ,5, , , , , , , , ,30, ,10,1,12,115,20,1,20,126,201,11,207,20,10,312,108,53,579,630,1031,427,822,124,178,746,78,16,80,58,10,17, , , , , , , , , , , , , , , , , , , , , , ,4, ,123,3,92,50,6,65,60,4,220,33,57,244,111,688,233,458,537,431,168,849,745,419,258,67,189,18,100,39,16,1,6, , , , , , , , , , , , , , , , 
Х Командор Макси 1гр колорадский жук и др насекомые 1/240(3 года),3, +, -  П 12.01.16 +  К 24.09.16 -  П 07.10.16 +, +  К 12.01.15 -  П 03.02.15 +  05.11.15 пер(ТЦ УССУРИЙСК) -,50, , ,2, ,10, , , , ,1,1, ,20, , ,51,10,17,43,40,35,126,50, ,10,24,18,140,41, ,1,1, , , , , , , , , , , , , , , , , , , ,1, , , , ,10, , , , , , , ,50,2,5,36, ,30,20,22,41,24,50,143,85,40,100, ,20,10, , , , , , , , , , , , , , , , , , , , , , , ,30, ,1,20, ,2,1, , , ,50,81,45,10,57,20,45,2,28,84,97,33,30,20,10, ,1,10,3,16, , , , , , , , , , , , , , , , , ,4,1, , , ,17,1, , ,3, ,263,2,2,5,23,3, ,84,34,43,6,20,1,26,74,324,13,76,29, , ,10,2,10,100, , , , , , , , , , , , ,2, , , , , , 
"Х Хранитель 2мл парша, мучн роса на плод и цвет культурах 1/200(3 года)",3, +  К 07.07.17 -  П 06.09.17 +, -  П 21.01.16 +  К 02.09.16 -  П 07.10.16 +, -  П 24.04.15 +  К 02.06.15 -  П 08.06.15 +  К 03.09.15 -,30, , , , , ,1, , ,1,11,20,1,3,11,20,14, ,2, ,2,1,1,2,1,12,10,4, ,30, ,2, , , , , , , , , , , , , , , , ,1, , , , , , ,2, ,10,10,1,12, , ,20,30,1, ,4,2,40, , ,7,1,22,1,42,5,51,5,3, ,13,1,8, , , , ,21, , , , ,11, , , , , , , , , ,4, , ,31,1, ,1,10, ,3, ,46,26,4,3,6, , , , ,2, ,1,27,52,12,21, ,2,4,1, ,15, ,20,1,1,1, ,6, ,11,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,110,10,10,1,21,21,32,10,23,40,30, ,10,34, ,15,7, ,20, , , , , , , , , , , ,1,1, , , 
"Х Фитоспорин-М универсал 200гр паста, все виды заболеваний 1/40(4 года)",3, +  К 20.07.17 -, +  К 01.08.16 -  П 01.08.16 +  К 01.08.16 -  П 21.11.16 +, +  К 02.02.15 -  П 03.02.15 +  05.08.15 пер(СКЛАД недостача по производству) -  П 02.10.15 +, ,3,155,60,37,58,286,126,43,65,216,266,367,234,238,293,359,163,225,356,296,143,620,393,159,333,185,230,265,84,34,111,41,20,11, ,40,11,1,33,26,28,12, , ,1,1, ,1,1,50, ,1,172,116,41,163,177,268,193,215,219,295,488,303,193,269,278,447,368,197,310,509,311,598,344,198,395,179,321,275, , , , , , , , , , ,1, , , , , , , , , , , , ,3,2, ,8,3,51,233,92,550,133,610,273,97,183,176,219,290,170,345,375,116,163,107,246,224,127,285,126,320,10,40, , , , , , , , , , , , , , , , ,50, ,50,25,20, ,2,24,21,27,60,57,136,96,134,152,241,230,36,211,202,235,324,151,154,100,278,198,201,257,291,255,481,195,188,183,49,14, , , , , , ,4,114,3,15,41,2,32,7,10,1,2, , 
Х Побелка садовая 1кг 1/20 Усадьба(не ограничен),3, +  К 10.04.17 -  П 06.12.17 +, -  П 08.01.16 +  К 25.04.16 -  П 28.06.16 +, +  К 06.11.15 -,20,40, ,50,21,5,20,102,20,32,32,64,149,370,106,66,150,90,2, , , , , , , , , , ,10, , , , , ,2, ,7,2,21,12,19,45,65,23,25, ,20, ,10, , , , , , ,140,30,26,12,13,7,45,90,52,70,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , ,10,20,20,11,80,11,82,143,30,180,298,324,322,251,290,127,1, , , , , , , ,2, , ,1, , ,10,20,34,22,12,6,54,60,78,55,79,43,13, ,10, , , , , , , , ,3, , ,10,50,74,81,42,151,153,120,238,197,170,217,244,150, ,4,4, ,1, ,40, , ,6, ,10,1,6,10, ,20,34,80,27,24,112,139,151,68,142, , , , , , , 
